Team,Probability of Winning Championship
Florida,0.18962732087416367
Duke,0.17786036328890706
Auburn,0.0018461447424522094
Houston,0.0017073699428251958
Tennessee,1.0677407366966522e-05
Texas Tech,3.6322967414843566e-06
Wisconsin,3.5053594151598794e-06
Michigan,1.2523060692453752e-06
St. John's,3.277003447149128e-08
BYU,2.404563753529386e-08
Iowa State,2.1178054962810145e-08
Ole Miss,2.0006335923702788e-08
Gonzaga,1.1378905161517609e-08
Arizona,9.573936792227803e-09
UCLA,4.114599494343369e-09
Kansas,1.8923681683550857e-09
Maryland,5.977716619916664e-11
Marquette,4.7937690691527667e-11
Louisville,4.6280174431423627e-11
Colorado State,3.9993946198020795e-11
Michigan State,3.989922536843747e-11
Missouri,3.932764870236113e-11
Oregon,3.5528667071874995e-11
Kentucky,3.5485004659305506e-11
Texas A&M,3.4684111137395816e-11
Illinois,3.0741873421874996e-11
Purdue,2.916916832493056e-11
Baylor,2.5265140828541757e-11
Alabama,2.43747403082291e-11
Clemson,2.246562444520831e-11
UConn,7.610556759027749e-12
St. Mary's,3.808590781249943e-12
Mississippi State,4.67513046875e-14
Memphis,4.649739746093751e-14
VCU,4.31054677734375e-14
UC San Diego,3.994140429687501e-14
Utah State,3.7766928710937506e-14
Georgia,3.6276044921875006e-14
Oklahoma,3.395182421875e-14
Creighton,3.3014320312500004e-14
Arkansas,3.264322851562501e-14
New Mexico,3.24479189453125e-14
Troy,2.8450519531250005e-14
Xavier,2.510126920898438e-14
Drake,2.4661457031249998e-14
Liberty,2.1679687499999998e-14
North Carolina,1.8561116440169314e-14
Yale,1.7428386718749998e-14
Bryant,1.5410158203125004e-14
High Point,1.3977865234375e-14
Omaha,1.3854167968750005e-14
Akron,1.27669248046875e-14
Grand Canyon,1.1914060546875001e-14
Lipscomb,1.1191406250000006e-14
Montana,1.0970054687500006e-14
Robert Morris,8.183595703124999e-15
Norfolk State,6.276042968750002e-15
Wofford,2.454424804687497e-15
SIU-Edwardsville,2.441404296875003e-15
Vanderbilt,2.441404296875003e-15
UNC-Wilmington,2.441404296875003e-15
McNeese State,2.441404296875003e-15
Alabama State,2.3803692382812147e-15
Mount St. Mary's,1.2581370550129903e-15
American University,1.4790852355957034e-17
Texas,1.467081726074219e-17
San Diego State,1.4029947204589843e-17
Saint Francis,7.629388427734385e-19
